company_id,company_name,industry,size,contract_value,date,quarter,year,deal_stage,renewal_probability,upsell_opportunity,active_users,feature_adoption_rate,custom_integrations,pending_feature_requests,ticket_volume,avg_resolution_time_hours,csat_score,sla_compliance_rate,health_score
COMP0000,Company 0000,Healthcare,Medium,71538,2023-01-04,Q1,2023,Live,84,5000,94,0.46,3,1,19,39.0,4.3,0.83,72.8
COMP0001,Company 0001,Healthcare,Small,53637,2023-01-06,Q1,2023,At Risk,63,15000,13,0.6,5,0,22,21.1,4.3,0.83,70.7
COMP0002,Company 0002,Finance,Medium,20944,2023-01-07,Q1,2023,At Risk,93,15000,14,0.64,3,6,38,16.6,5.0,0.91,85.3
COMP0003,Company 0003,Manufacturing,Medium,83745,2023-01-07,Q1,2023,At Risk,70,0,81,0.55,2,9,37,22.0,5.0,0.9,75.5
COMP0004,Company 0004,Technology,Small,34880,2023-01-07,Q1,2023,Stable,78,10000,16,0.87,0,8,28,7.0,3.8,0.97,84.1
COMP0005,Company 0005,Finance,Medium,41739,2023-01-07,Q1,2023,Implementation,67,20000,64,0.4,5,1,40,6.0,3.8,0.95,66.3
COMP0006,Company 0006,Finance,Small,30467,2023-01-07,Q1,2023,Implementation,87,0,7,0.92,4,3,10,25.2,3.8,0.91,87.1
COMP0007,Company 0007,Technology,Small,10123,2023-01-08,Q1,2023,Stable,75,5000,88,0.49,5,10,41,34.9,4.6,1.0,75.6
COMP0008,Company 0008,Healthcare,Small,96707,2023-01-10,Q1,2023,At Risk,70,20000,81,0.45,1,1,50,16.0,4.3,0.88,69.3
COMP0009,Company 0009,Retail,Medium,72595,2023-01-10,Q1,2023,Implementation,93,20000,29,0.58,4,6,34,16.0,4.0,0.89,79.1
COMP0010,Company 0010,Manufacturing,Enterprise,10255,2023-01-13,Q1,2023,At Risk,76,15000,72,0.68,3,0,23,9.0,4.1,0.97,79.0
COMP0011,Company 0011,Healthcare,Medium,59725,2023-01-14,Q1,2023,Stable,100,10000,10,0.54,1,10,22,39.0,3.8,0.83,78.0
COMP0012,Company 0012,Technology,Medium,92540,2023-01-14,Q1,2023,Live,99,15000,66,0.69,5,9,30,22.5,3.9,0.9,84.0
COMP0013,Company 0013,Technology,Small,72426,2023-01-17,Q1,2023,Implementation,83,0,13,0.93,1,9,39,47.5,4.7,0.93,90.2
COMP0014,Company 0014,Manufacturing,Small,10197,2023-01-17,Q1,2023,Stable,92,15000,96,0.74,3,9,33,37.3,4.0,0.85,82.8
COMP0015,Company 0015,Healthcare,Enterprise,88622,2023-01-18,Q1,2023,Implementation,65,0,47,0.41,2,0,28,11.0,4.8,0.92,69.4
COMP0016,Company 0016,Finance,Small,55708,2023-01-20,Q1,2023,Live,67,20000,59,0.72,5,3,13,30.9,4.1,0.92,76.5
COMP0017,Company 0017,Healthcare,Enterprise,12477,2023-01-21,Q1,2023,Implementation,82,10000,27,0.86,3,4,21,36.5,4.3,0.89,85.4
COMP0018,Company 0018,Retail,Medium,19371,2023-01-21,Q1,2023,Stable,96,5000,11,0.69,0,7,10,38.6,4.3,0.99,86.5
COMP0019,Company 0019,Retail,Enterprise,32979,2023-01-23,Q1,2023,Stable,89,15000,12,0.58,3,0,27,24.2,3.6,0.91,76.7
COMP0020,Company 0020,Healthcare,Small,15201,2023-01-24,Q1,2023,Stable,83,0,26,0.9,4,2,41,31.3,4.9,0.85,88.5
COMP0021,Company 0021,Manufacturing,Medium,67865,2023-01-27,Q1,2023,Live,94,10000,50,0.84,0,6,11,38.8,5.0,0.87,90.8
COMP0022,Company 0022,Retail,Small,85356,2023-01-28,Q1,2023,Live,69,10000,29,0.79,2,1,17,32.1,4.9,0.96,83.2
COMP0023,Company 0023,Healthcare,Enterprise,37222,2023-01-31,Q1,2023,Live,98,0,71,0.55,3,3,8,14.8,4.0,0.98,81.5
COMP0024,Company 0024,Manufacturing,Small,57173,2023-01-31,Q1,2023,At Risk,87,5000,90,0.47,3,5,11,14.9,5.0,0.85,77.2
